disciplina;materia;dificuldade;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;resposta_correta;justificativa;dica;formula
Direito Constitucional;Mandado de Segurança;Fácil;O Mandado de Segurança é cabível para proteger qual tipo de direito?;Direito à liberdade de locomoção.;Direito à informação pessoal.;Direito líquido e certo, não amparado por Habeas Corpus ou Habeas Data.;Direito de petição.;;c;Correto. O MS é a ação residual para proteger direitos claros e comprováveis de plano, quando não couber HC ou HD.;MS = Direito Líquido e Certo (Residual).;Art. 5º, LXIX da CF/88
Matemática;Equação do 2º Grau;Médio;Quais são as raízes da equação x² - 5x + 6 = 0?;2 e 3;-2 e -3;1 e 6;-1 e -6;;a;Correto. Usando Bhaskara (Δ = (-5)² - 416 = 25 - 24 = 1) ou Soma e Produto (Soma=5, Produto=6). As raízes são 2 e 3.;Use a fórmula de Bhaskara ou tente encontrar dois números cuja soma seja -b/a e o produto seja c/a.;x = [-b ± sqrt(Δ)] / 2a
Psicologia (Saúde);Psicofarmacologia;Médio;Os medicamentos conhecidos como Inibidores Seletivos da Recaptação de Serotonina (ISRS), como a Fluoxetina e a Sertralina, são usados principalmente para tratar qual tipo de transtorno?;Transtornos Psicóticos (ex: Esquizofrenia);Transtornos de Humor (ex: Depressão e Ansiedade);Transtornos Alimentares;Transtornos por Uso de Substâncias;;b;Correto. ISRS são a classe mais comum de antidepressivos e também eficazes para diversos transtornos de ansiedade.;ISRS aumentam a disponibilidade de serotonina no cérebro.;N/A
Atualidades;Política Internacional;Fácil;Qual país asiático é conhecido por sua política externa de neutralidade estrita e por sediar diversas organizações internacionais?;Japão;Coreia do Sul;Suíça;Singapura;;c;Correto. A Suíça tem uma longa tradição de neutralidade e sedia muitos órgãos da ONU e ONGs em Genebra.;A Suíça não faz parte de alianças militares como a OTAN.;N/A
Língua Portuguesa;Vozes Verbais;Fácil;A frase 'O relatório foi entregue pelo analista' está na voz:;Ativa;Passiva Analítica;Passiva Sintética;Reflexiva;;b;Correto. Tem a estrutura: Sujeito Paciente ('O relatório') + Verbo Ser Auxiliar ('foi') + Verbo Principal no Particípio ('entregue') + Agente da Passiva ('pelo analista').;Passiva Analítica = Ser + Particípio.;N/A
Direito Administrativo;Agentes Públicos (Lei 8.112);Médio;Após adquirir a estabilidade, o servidor público só perderá o cargo em virtude de:;Decisão administrativa simples.;Avaliação de desempenho insatisfatória, assegurada ampla defesa.;Sentença judicial transitada em julgado ou processo administrativo disciplinar (PAD).;Pedido do chefe imediato.;;c;Correto. As hipóteses constitucionais são: Sentença judicial, PAD, avaliação periódica de desempenho (com lei complementar) e excesso de despesa (com lei complementar).;A estabilidade garante proteção contra demissão arbitrária.;Art. 41, § 1º da CF/88
Raciocínio Lógico;Conjuntos;Fácil;Se A = {1, 2, 3, 4} e B = {3, 4, 5, 6}, qual é o conjunto A ∩ B (interseção)?;{1, 2, 3, 4, 5, 6};{1, 2};{5, 6};{3, 4};;d;Correto. Interseção (∩) são os elementos que pertencem a AMBOS os conjuntos.;Interseção = O que tem em comum.;N/A
Direito Constitucional;Ações Constitucionais;Fácil;Qual ação constitucional pode ser proposta por qualquer cidadão para anular ato lesivo ao patrimônio público, à moralidade administrativa, ao meio ambiente ou ao patrimônio histórico e cultural?;Mandado de Injunção;Ação Civil Pública;Ação Popular;Mandado de Segurança Coletivo;;c;Correto. A Ação Popular é o instrumento do cidadão para fiscalizar a Administração.;Ação Popular = Fiscalização pelo Cidadão.;Art. 5º, LXXIII da CF/88
Matemática;Geometria Espacial;Fácil;Qual o volume de um cubo com aresta de 5 cm?;25 cm³;125 cm³;150 cm³;60 cm³;;b;Correto. Volume do cubo = Aresta³. V = 5 * 5 * 5 = 125 cm³.;Volume = Lado * Lado * Lado (ou Aresta³).;V = a³
Psicologia (Saúde);Código de Ética;Médio;De acordo com o Código de Ética Profissional do Psicólogo, é vedado ao psicólogo:;Realizar pesquisas científicas.;Prestar serviços em situações de calamidade.;Ser perito em processos judiciais.;Induzir a convicções políticas, filosóficas, morais ou religiosas no exercício profissional.;;d;Correto. O psicólogo deve respeitar a autonomia e os valores do atendido, sem impor os seus.;O psicólogo não deve usar sua posição para influenciar crenças pessoais.;Art. 2º, b) do CEPP
Atualidades;Conflitos Internacionais;Médio;A guerra civil que se arrasta há mais de uma década, envolvendo o governo de Bashar al-Assad, grupos rebeldes e potências estrangeiras, ocorre em qual país do Oriente Médio?;Iraque;Síria;Líbano;Iêmen;;b;Correto. A Guerra Civil Síria começou em 2011 e envolve múltiplos atores internos e externos.;A Guerra da Síria gerou uma das maiores crises de refugiados do século XXI.;N/A
Língua Portuguesa;Pronomes Relativos;Difícil;Complete a frase: 'Esta é a cidade ___ me refiro.';que;a que;cujo;onde;;b;Correto. Quem se refere, refere-se A algo. A preposição 'a' exigida pelo verbo se junta ao pronome relativo 'que'.;Verifique a regência do verbo ('referir-se A'). A preposição deve vir antes do pronome relativo.;N/A
Direito Administrativo;Intervenção do Estado na Propriedade;Difícil;A modalidade de intervenção em que o Estado utiliza temporariamente bens ou serviços privados em caso de perigo público iminente (ex: usar um hospital particular durante uma epidemia), assegurada indenização posterior se houver dano, é a:;Desapropriação;Servidão Administrativa;Requisição Administrativa;Ocupação Temporária;;c;Correto. Requisição é o uso transitório e compulsório em caso de perigo iminente.;Requisição = Perigo Iminente + Uso Temporário + Indenização Posterior (se dano).;Art. 5º, XXV da CF/88
Raciocínio Lógico;Raciocínio Analítico;Fácil;Ana é mais alta que Bia. Carla é mais baixa que Ana. Bia não é a mais baixa. Quem é a mais alta?;Ana;Bia;Carla;Impossível determinar.;;a;Correto. Ana > Bia. Ana > Carla. Bia não é a mais baixa (logo, Carla é a mais baixa). A ordem é Ana > Bia > Carla. Ana é a mais alta.;N/A;N/A
Direito Constitucional;Controle de Constitucionalidade (Efeitos);Médio;Quando o STF declara uma lei inconstitucional em sede de ADI (Ação Direta de Inconstitucionalidade), a decisão tem, em regra, efeitos:;Ex nunc (não retroativos) e inter partes (só entre as partes).;Ex tunc (retroativos) e erga omnes (para todos).;Ex nunc (não retroativos) e erga omnes (para todos).;Ex tunc (retroativos) e inter partes (só entre as partes).;;b;Correto. A decisão anula a lei desde sua origem (ex tunc) e vale para todos (erga omnes), com efeito vinculante.;ADI = Efeito para Todos (erga omnes) e Retroativo (ex tunc).;N/A
Matemática;Teorema de Pitágoras;Fácil;Em um triângulo retângulo, os catetos medem 6 cm e 8 cm. Qual a medida da hipotenusa?;10 cm;12 cm;14 cm;100 cm;;a;Correto. a² = b² + c² => h² = 6² + 8² = 36 + 64 = 100 => h = sqrt(100) = 10 cm.;O quadrado da hipotenusa é igual à soma dos quadrados dos catetos.;a² = b² + c²
Psicologia (Gestão);Seleção por Competências;Médio;Na seleção por competências, o que o entrevistador busca identificar no candidato?;Conhecimentos teóricos gerais.;Traços de personalidade estáveis.;Comportamentos passados que demonstrem as competências exigidas.;Apenas a formação acadêmica.;;c;Correto. A premissa é que o comportamento passado é o melhor preditor do comportamento futuro.;Foco no CHA (Conhecimentos, Habilidades, Atitudes) demonstrado por ações passadas.;N/A
Atualidades;Ciência e Tecnologia;Médio;A tecnologia de edição genética que permite modificar o DNA de organismos vivos com alta precisão, levantando debates éticos, é conhecida como:;Clonagem;Terapia Gênica;CRISPR-Cas9;Transgênicos;;c;Correto. CRISPR-Cas9 é a ferramenta de 'tesoura molecular' que revolucionou a edição genética.;CRISPR = Edição precisa do DNA.;N/A
Língua Portuguesa;Período Composto;Médio;A oração destacada em 'É necessário que todos colaborem' é classificada como:;Subordinada Substantiva Objetiva Direta;Subordinada Substantiva Subjetiva;Subordinada Adjetiva Restritiva;Subordinada Adverbial Condicional;;b;Correto. Funciona como SUJEITO do verbo 'É necessário' ('Isto é necessário').;Troque a oração por 'ISSO'. Se fizer sentido ('ISSO é necessário'), é Substantiva Subjetiva.;N/A
Direito Administrativo;Licitações (Lei 14.133 - Sanções);Difícil;A sanção administrativa de 'declaração de inidoneidade para licitar ou contratar com a Administração Pública' prevista na Nova Lei de Licitações:;É aplicável por qualquer órgão da Administração.;Só pode ser aplicada pelo Ministro de Estado, Secretário Estadual ou Municipal.;Tem prazo máximo de 1 ano.;Impede de contratar apenas com o órgão que aplicou a sanção.;;b;Correto. O Art. 156, § 4º estabelece essa competência exclusiva.;Inidoneidade = Sanção mais grave, competência restrita, efeitos amplos.;Art. 156, IV e § 4º da Lei 14.133/21
Raciocínio Lógico;Probabilidade;Médio;Qual a probabilidade de, ao retirar uma carta de um baralho comum (52 cartas), ela ser um Rei OU uma carta de Copas?;16/52;17/52;4/52;13/52;;a;Correto. P(Rei OU Copas) = P(Rei) + P(Copas) - P(Rei de Copas). Reis = 4. Copas = 13. Rei de Copas = 1. Prob = (4/52) + (13/52) - (1/52) = 16/52.;Regra do OU (União): P(A U B) = P(A) + P(B) - P(A ∩ B).;N/A
Direito Constitucional;Separação de Poderes;Fácil;O sistema de 'freios e contrapesos' (checks and balances) visa:;Concentrar todo o poder no Executivo.;Garantir que um Poder possa controlar os excessos dos outros.;Eliminar a necessidade do Poder Judiciário.;Subordinar o Legislativo ao Executivo.;;b;Correto. É o mecanismo de controle mútuo entre Executivo, Legislativo e Judiciário para evitar abusos.;Ex: Veto presidencial (Executivo freia Legislativo), Impeachment (Legislativo freia Executivo), Controle de Constitucionalidade (Judiciário freia os outros).;N/A
Matemática;Análise Combinatória;Médio;Quantos anagramas (permutações das letras) tem a palavra 'BOLO'?;4;12;24;6;;b;Correto. É uma permutação com repetição. P = n! / (n1! * n2! * ...). Temos 4 letras, com 'O' repetindo 2 vezes. P = 4! / 2! = (4*3*2*1) / (2*1) = 24 / 2 = 12.;Permutação com Repetição: n! dividido pelo fatorial das repetições.;P(n, n1, n2...) = n! / (n1! * n2! ...)
Psicologia (Saúde);Psicologia Social;Médio;O fenômeno psicossocial em que indivíduos em um grupo tendem a diminuir seu esforço individual, acreditando que outros farão o trabalho, é chamado de:;Efeito Manada;Pensamento de Grupo (Groupthink);Vadiagem Social (Social Loafing);Facilitação Social;;c;Correto. Vadiagem Social é a tendência de 'pegar carona' no esforço do grupo.;Vadiagem = Esforço reduzido em grupo.;N/A
Atualidades;Brasil;Fácil;Qual bioma brasileiro, conhecido como a 'savana brasileira', cobre grande parte do território central do país e é caracterizado por árvores tortuosas e grande biodiversidade?;Amazônia;Mata Atlântica;Cerrado;Caatinga;;c;Correto. O Cerrado é o segundo maior bioma brasileiro.;Cerrado = Savana Brasileira.;N/A
Língua Portuguesa;Regência Nominal;Médio;Assinale a alternativa em que a regência nominal está INCORRETA:;Ele tem aversão de multidões.;Tenho certeza de que ele virá.;Sou grato por sua ajuda.;Ele estava ansioso para viajar.;;a;Correto (é a incorreta). O substantivo 'aversão' pede a preposição 'a' (aversão A algo).;Substantivos e adjetivos também exigem preposições específicas.;N/A
Direito Administrativo;Improbidade Administrativa (Lei 8.429/92);Difícil;Após as alterações promovidas pela Lei 14.230/2021, para que um ato seja considerado improbidade administrativa, é necessária a comprovação de:;Apenas a ilegalidade do ato.;Culpa ou dolo do agente.;Apenas o dano ao erário.;Dolo específico do agente.;;d;Correto. A nova lei exige a comprovação do dolo (intenção) do agente para configurar o ato de improbidade em quase todas as hipóteses.;Nova Lei de Improbidade = Exigência de DOLO.;N/A
Raciocínio Lógico;Tautologia, Contradição, Contingência;Difícil;A proposição '(P -> Q) v P' (Se P, então Q, OU P) é um exemplo de:;Tautologia;Contradição;Contingência;Equivalência;;a;Correto. Construindo a tabela verdade, o resultado final será sempre Verdadeiro (V), independentemente dos valores de P e Q. (P->Q) é F só se P=V e Q=F. Se P=V, P é V, logo (F v V = V). Se P=F, (P->Q) é V, logo (V v F = V).;Tautologia = Sempre Verdadeiro.;N/A
Direito Constitucional;Processo Legislativo;Médio;Qual o quórum (número mínimo de votos) necessário para aprovação de uma Proposta de Emenda à Constituição (PEC) em cada Casa do Congresso Nacional?;Maioria simples;Maioria absoluta;Três quintos (3/5) dos membros;Dois terços (2/3) dos membros;;c;Correto. A PEC exige votação em dois turnos, em cada Casa, com aprovação por 3/5 dos respectivos membros.;PEC = Quórum Qualificado (3/5), Dois Turnos, Duas Casas.;Art. 60, § 2º da CF/88
Matemática;Função Exponencial;Fácil;Qual o valor de 2 elevado a -3 (2⁻³)?;-6;-8;1/6;1/8;;d;Correto. Expoente negativo inverte a base e torna o expoente positivo: 2⁻³ = (1/2)³ = 1³/2³ = 1/8.;Expoente negativo = Inverte a base.;a⁻ⁿ = 1/aⁿ
Psicologia (Saúde);Teorias do Desenvolvimento (Erikson);Médio;Segundo Erik Erikson, qual é o principal conflito psicossocial vivenciado durante a adolescência (aproximadamente 12 a 18 anos)?;Confiança vs. Desconfiança;Iniciativa vs. Culpa;Identidade vs. Confusão de Papéis;Intimidade vs. Isolamento;;c;Correto. A busca pela identidade ('Quem sou eu?') é a crise central da adolescência.;Erikson descreveu 8 estágios psicossociais ao longo da vida.;N/A
Atualidades;Saúde Pública;Fácil;A pandemia que assolou o mundo a partir do final de 2019 foi causada por qual vírus?;Influenza H1N1;Vírus Ebola;SARS-CoV-2;HIV;;c;Correto. SARS-CoV-2 é o coronavírus causador da COVID-19.;COVID-19 foi causada pelo novo coronavírus (SARS-CoV-2).;N/A
Língua Portuguesa;Vozes Verbais (Passiva Sintética);Médio;A frase 'Alugam-se casas' tem o sujeito:;Indeterminado;Casas (sujeito paciente);Oculto (eles);Inexistente;;b;Correto. A frase equivale a 'Casas são alugadas'. 'Casas' é o sujeito que sofre a ação.;VTD + SE = Voz Passiva Sintética. O objeto direto da ativa vira sujeito paciente.;N/A
Direito Administrativo;Organização Administrativa;Médio;Uma empresa criada pelo Estado, com personalidade jurídica de direito privado, capital exclusivamente público e que pode exercer atividade econômica ou prestar serviço público é uma:;Autarquia;Fundação Pública de Direito Privado;Sociedade de Economia Mista;Empresa Pública;;d;Correto. Empresa Pública (ex: Correios, Caixa Econômica) tem capital 100% público e personalidade de direito privado.;Empresa Pública = 100% Pública, Dir. Privado. Soc. Economia Mista = Capital Misto, Dir. Privado.;N/A
Raciocínio Lógico;Diagramas Lógicos;Médio;Se todo A é B e algum B é C, pode-se concluir que:;Todo A é C.;Algum A é C.;Nenhum A é C.;Nenhuma conclusão válida sobre A e C.;;d;Correto. O termo médio (B) não está distribuído em nenhuma premissa, impedindo a conclusão.;Analise diagramas de Venn.;N/A
Língua Portuguesa;Ortografia;Médio;Qual palavra está grafada CORRETAMENTE?;Paralizar;Analizar;Pesquisar;Atrazado;;c;Correto. 'Pesquisar' é com 's'.;Verbos terminados em '-isar' são com 's' se a palavra primitiva já tiver 's' (ex: análise -> analisar). Se não tiver, usa-se 'z' (ex: útil -> utilizar). 'Pesquisa' tem 's'.;N/A
Direito Administrativo;Princípios;Fácil;O princípio que veda a promoção pessoal de autoridades ou servidores públicos em publicidade de atos, programas, obras e serviços governamentais é o da:;Legalidade;Moralidade;Impessoalidade;Eficiência;;c;Correto. A impessoalidade proíbe que a publicidade tenha nomes, símbolos ou imagens que caracterizem promoção pessoal.;A publicidade deve ter caráter educativo, informativo ou de orientação social.;Art. 37, § 1º da CF/88
